tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_mds_1,bbox_mds_2,containment_mds,adjacency_mds,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g_4/path_9,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.14789627191082622,0.14789627191082622,0.9532821418863822,0.9634751291111715,0.03306148123453924,0.7347390265102616,0.4945243708827596,0.3515880322950288,0.0,0.010192987224789346,0.0
svg/g_4/path_8,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.2354914474380817,0.2354914474380817,0.9532821418863822,0.9634751291111715,0.04743289893925943,0.655984229819721,0.4945243708827596,0.33714949282886986,0.0,0.010192987224789346,0.0
svg/g_4/path_7,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.3230866229653373,0.3230866229653373,0.9532821418863822,0.9634751291111715,0.06165588171839085,0.5771851873831139,0.4945243708827596,0.31188204876309156,0.0,0.010192987224789346,0.0
svg/g_4/path_6,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.410681798492593,0.410681798492593,0.9532821418863822,0.9634751291111715,0.0757949405458535,0.49831953149820957,0.4945243708827596,0.07470338510258644,0.0,0.010192987224789346,0.0
svg/g_4/path_5,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.4982769740198483,0.4982769740198483,0.9532821418863822,0.9634751291111715,0.09000962059328364,0.4193207268200861,0.4945243708827596,0.09636119430182476,0.0,0.010192987224789346,0.0
svg/g_4/path_4,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.585872149547104,0.585872149547104,0.9532821418863822,0.9634751291111715,0.10470868136771216,0.3400439672469078,0.4945243708827596,0.35880730202810884,0.0,0.010192987224789346,0.0
svg/g_4/path_3,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.6734673250743595,0.6734673250743595,0.9532821418863822,0.9634751291111715,0.11986534482183907,0.26063461915070907,0.4945243708827596,0.3046627790300121,0.0,0.010192987224789346,0.0
svg/g_4/path_2,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.7610625006016152,0.7610625006016152,0.9532821418863822,0.9634751291111715,0.12708538250318305,0.18501209311463282,0.4945243708827596,0.07109375023604628,0.0,0.010192987224789346,0.0
svg/g_4/path_1,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.8486576761288708,0.8486576761288708,0.9532821418863822,0.9634751291111715,0.14882955598697428,0.10259987661691786,0.4945243708827596,0.08192265483566567,0.0,0.010192987224789346,0.0
svg/g_4/path,0.75,1.0,2.0,1.0000000174532926,1e-08,1e-08,1.0,0.5,0.0,0.0,1.0,0.9362528516561263,0.9362528516561263,0.9532821418863822,0.9634751291111715,0.15654923315344224,0.025839409773617306,0.4945243708827596,0.3245157707959807,0.0,0.010192987224789346,0.0
svg/g_3/text_11,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03084601538209785,0.08975617738504335,0.9615384615384616,0.9887197608045665,0.0,0.8108483248073682,0.4945243708827596,0.03506464771047377,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_3/text_10,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11844119090935347,0.177351352912299,0.9615384615384616,0.9887197608045665,0.014786267556056065,0.7321615407101373,0.4945243708827596,0.09275155943528512,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_3/text_9,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20603636643660891,0.2649465284395544,0.9615384615384616,0.9887197608045665,0.029163322901950183,0.6535721370864644,0.4945243708827596,0.13245754296722262,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_3/text_8,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29363154196386454,0.35254170396681,0.9615384615384616,0.9887197608045665,0.04333505930525435,0.5749429979385474,0.4945243708827596,0.32632058822925053,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_3/text_7,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3812267174911202,0.44013687949406577,0.9615384615384616,0.9887197608045665,0.057362764559567084,0.4962335312758018,0.4945243708827596,0.31549168362963115,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_3/text_6,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4688218930183755,0.527732055021321,0.9615384615384616,0.9887197608045665,0.07129110774490208,0.4174741787544836,0.4945243708827596,0.09997082916836442,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_3/text_5,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5564170685456312,0.6153272305485767,0.9615384615384616,0.9887197608045665,0.085624617160125,0.33837993715502274,0.4945243708827596,0.32993022309579045,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_3/text_4,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6440122440728867,0.7029224060758322,0.9615384615384616,0.9887197608045665,0.09928413721215577,0.25972168913549765,0.4945243708827596,0.10358046403490459,0.05891016200294551,0.027181299266104922,0.5460634502511574
svg/g_3/text_3,0.875,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7316074196001424,0.7905175816030879,0.9615384615384616,0.9887197608045665,0.11597984580170465,0.17935283322042508,0.4945243708827596,0.11440936863452349,0.05891016200294551,0.027181299266104922,0.5460634502511574
